"charset","UTF-8"
"FOXRATE_REVIEWS","Évaluations"
"FOXRATE_PROS","Pour:"
"FOXRATE_CONS","Contre:"
"FOXRATE_CONCLUSION","Conclusion:"
"FOXRATE_ABUSE","Signaler un abus"
"FOXRATE_THANKS","Merci pour vôtre évaluation!"
"FOXRATE_COMMENT","Commentaire: "
"FOXRATE_YES","Oui"
"FOXRATE_NO","Non"
"FOXRATE_WAS_HELPFUL","Avez-vous trouvé cette évaluation utile?"
"FOXRATE_POWERED","éalisé avec"
"FOXRATE_STARS","Étoiles"
"FOXRATE_IMPRESSION","Impression générale:"
"FOXRATE_SHOWALL","Afficher tout"
"FOXRATE_OF","de"
"FOXRATE_RECCOMEND","recommander"
"FOXRATE_WRITE_REV","Écrire und évaluation"
"FOXRATE_READ_REV","Lire évaluation"
"FOXRATE_PRODUCT_REVS","Èvaluations de produits"
"FOXRATE_SORTING","Triage"
"FOXRATE_VALUE_FOR_MONEY","Rapport qualité-prix"
"FOXRATE_QUALITY","Qualité:"
"FOXRATE_GO","Chercher"
"FOXRATE_REOMMEND2","Je recommanderaient ce produit"
"FOXRATE_FROM","de"
"FOXRATE_OF_FIVE"," / 5"
"FOXRATE_VALUE_FOR_MONEY_NOT_ENOUGH",""
"FOXRATE_PAGES","Pages"
"FOXRATE_REVIEW_BY","Review by"
"FOXRATE_POSTED_ON","Posted on"
"FOXRATE_YES","Oui"
"FOXRATE_NO","Non"
"FOXRATE_STAR","Étoile"